episode,total_reward,avg_loss,steps,epsilon,moving_avg_reward,x_pos,flag_get,coins,status,time_elapsed
91,720.0,5.530082,106,0.162204,494.5,798,0,1,small,1588.7
92,615.0,5.973721,85,0.160831,531.7,688,0,0,small,1594.9
93,1031.0,5.741728,212,0.157457,610.7,1128,0,0,small,1608.6
94,796.0,5.628547,153,0.155066,628.1,883,0,0,small,1619.5
95,243.0,6.859756,29,0.154617,539.2,305,0,0,small,1621.6
96,247.0,6.475781,31,0.154138,539.8,310,0,0,small,1624.1
97,240.0,6.054881,33,0.15363,540.9,303,0,1,small,1626.6
98,1333.0,5.945091,209,0.150453,650.0,1432,0,1,small,1640.0
99,232.0,5.879555,37,0.149897,649.0,295,0,0,small,1642.5
100,651.0,5.60177,81,0.148688,610.8,722,0,0,small,1648.0
101,1044.0,6.238117,148,0.146503,643.2,1130,0,1,small,1667.3
102,224.0,6.585027,39,0.145933,604.1,289,0,0,small,1669.8
103,608.0,5.844921,69,0.144929,561.8,679,0,0,small,1674.1
104,240.0,5.39977,32,0.144466,506.2,302,0,0,small,1676.3
105,250.0,5.92119,32,0.144005,506.9,314,0,1,small,1678.4
106,632.0,5.820193,90,0.142714,545.4,708,0,0,small,1684.4
107,243.0,6.393189,33,0.142244,545.7,307,0,0,small,1686.4
108,627.0,5.985994,93,0.140927,475.1,703,0,0,small,1692.9
109,622.0,6.186265,79,0.139818,514.1,695,0,0,small,1697.8
110,242.0,6.827823,28,0.139427,473.2,305,0,0,small,1699.8
111,1040.0,5.691737,150,0.137352,472.8,1125,0,0,small,1710.3
112,1314.0,5.865534,190,0.134766,581.8,1408,0,1,small,1723.2
113,638.0,6.289944,146,0.132813,584.8,722,0,0,small,1733.9
114,1034.0,6.513195,186,0.130365,664.2,1127,0,0,small,1746.8
115,762.0,7.080991,168,0.128193,715.4,853,0,1,small,1758.9
116,239.0,5.785402,34,0.127758,676.1,303,0,1,small,1761.4
117,1043.0,6.181395,144,0.125932,756.1,1127,0,0,small,1771.5
118,245.0,6.401982,28,0.125579,717.9,306,0,0,small,1773.6
119,250.0,6.284395,33,0.125166,680.7,314,0,0,small,1775.6
120,249.0,6.542917,35,0.124728,681.4,313,0,0,small,1778.0
121,606.0,5.954339,113,0.123327,638.0,686,0,0,small,1796.8
122,575.0,5.961698,129,0.121746,564.1,655,0,1,small,1805.4
123,617.0,6.153135,81,0.120764,562.0,691,0,0,small,1810.9
124,243.0,6.138997,28,0.120426,482.9,306,0,0,small,1812.7
125,252.0,6.673675,27,0.120101,431.9,315,0,0,small,1814.7
126,248.0,5.937254,28,0.119766,432.8,311,0,0,small,1816.8
127,636.0,6.104502,85,0.118752,392.1,708,0,1,small,1823.0
128,771.0,6.384651,154,0.116937,444.7,859,0,0,small,1833.8
129,1030.0,6.683841,209,0.114518,522.7,1127,0,0,small,1848.0
130,1033.0,6.493038,214,0.112093,601.1,1132,0,0,small,1863.2
131,241.0,6.767824,31,0.111747,564.6,304,0,0,small,1865.1
132,236.0,6.077204,36,0.111345,530.7,301,0,0,small,1867.7
133,242.0,6.596687,31,0.111,493.2,306,0,0,small,1870.1
134,625.0,6.204649,64,0.110292,531.4,695,0,0,small,1875.0
135,629.0,6.558902,76,0.109457,569.1,702,0,0,small,1880.7
